Customer_ID,Modelo,Revisiones,Prob_Churn,Riesgo,Valor,C_n,Costes_op,Margen_bruto,CLTV,Accion,Descuento,Inversion_accion,Margen_neto,Margen_neto_pct,ROI,Revenue_at_Risk,PVP,Conversion_rate
103388,B,0,0.157,Bajo,Bajo,281.41,8.442300000000001,272.96770000000004,1679.65,Mantenimiento Preventivo,22.51,32.51,240.45,0.8545,3.698092894494002,263.71,19614,0.5
104463,D,0,0.1377,Bajo,Alto,319.0,19.14,299.86,2013.74,Mantenimiento Preventivo,25.52,35.52,264.34,0.8287,3.7210022522522515,277.29,22581,0.5
104731,A,0,0.638,Alto,Bajo,267.5,8.025,259.475,1596.63,Retencion Estandar,58.85,93.85,165.63,0.6192,0.7059350026638253,1018.65,13797,0.4
102250,I,0,0.0827,Bajo,Alto,408.1,36.729,371.371,2493.98,Mantenimiento Preventivo,32.65,42.65,328.72,0.8055,3.8536928487690507,206.25,26002,0.5
99832,B,0,0.2306,Bajo,Bajo,281.41,8.442300000000001,272.96770000000004,1679.65,Mantenimiento Preventivo,22.51,32.51,240.45,0.8545,3.698092894494002,387.33,19614,0.5
105959,D,0,0.0426,Bajo,Alto,319.0,19.14,299.86,2013.74,Mantenimiento Preventivo,25.52,35.52,264.34,0.8287,3.7210022522522515,85.79,34332,0.5
101126,H,0,0.2159,Bajo,Alto,388.3,23.298,365.002,2451.21,Mantenimiento Preventivo,31.06,41.06,323.94,0.8342,3.9447150511446663,529.22,20671,0.5
87490,I,0,0.078,Bajo,Alto,408.1,36.729,371.371,2493.98,Mantenimiento Preventivo,32.65,42.65,328.72,0.8055,3.8536928487690507,194.53,36634,0.5
103221,I,0,0.1158,Bajo,Alto,408.1,36.729,371.371,2493.98,Mantenimiento Preventivo,32.65,42.65,328.72,0.8055,3.8536928487690507,288.8,36634,0.5
100642,A,0,0.1768,Bajo,Bajo,267.5,8.025,259.475,1596.63,Mantenimiento Preventivo,21.4,31.4,228.08,0.8526,3.631847133757962,282.28,13693,0.5
104367,B,0,0.0807,Bajo,Bajo,281.41,8.442300000000001,272.96770000000004,1679.65,Mantenimiento Preventivo,22.51,32.51,240.45,0.8545,3.698092894494002,135.55,20089,0.5
107439,H,0,0.2849,Bajo,Alto,388.3,23.298,365.002,2451.21,Mantenimiento Preventivo,31.06,41.06,323.94,0.8342,3.9447150511446663,698.35,18261,0.5
108341,D,0,0.4227,Medio,Alto,319.0,19.14,299.86,2013.74,Fidelizacion Activa,47.85,67.85,232.01,0.7273,1.2993927781871777,851.21,27147,0.38
105760,D,0,0.2482,Bajo,Alto,319.0,19.14,299.86,2013.74,Mantenimiento Preventivo,25.52,35.52,264.34,0.8287,3.7210022522522515,499.81,29956,0.5
100322,J,0,0.1954,Bajo,Alto,429.00000000000006,38.61000000000001,390.39,2621.71,Mantenimiento Preventivo,34.32,44.32,346.07,0.8067,3.9042193140794224,512.28,33404,0.5
102629,I,0,0.0677,Bajo,Alto,408.1,36.729,371.371,2493.98,Mantenimiento Preventivo,32.65,42.65,328.72,0.8055,3.8536928487690507,168.84,30330,0.5
102096,B,0,0.0736,Bajo,Bajo,281.41,8.442300000000001,272.96770000000004,1679.65,Mantenimiento Preventivo,22.51,32.51,240.45,0.8545,3.698092894494002,123.62,19472,0.5
65885,B,0,0.3048,Medio,Bajo,281.41,8.442300000000001,272.96770000000004,1679.65,Fidelizacion Activa,42.21,62.21,210.76,0.7489,1.2873943095965277,511.96,22094,0.38
35759,I,0,0.0321,Bajo,Alto,408.1,36.729,371.371,2493.98,Mantenimiento Preventivo,32.65,42.65,328.72,0.8055,3.8536928487690507,80.06,28667,0.5
104862,C,0,0.1417,Bajo,Bajo,303.6,18.216,285.384,1916.53,Mantenimiento Preventivo,24.29,34.29,251.1,0.8271,3.661417322834646,271.57,23744,0.5
100155,B,0,0.5169,Alto,Bajo,281.41,8.442300000000001,272.96770000000004,1679.65,Retencion Estandar,61.91,96.91,176.06,0.6256,0.7266948715302859,868.21,20999,0.4
85346,E,0,0.3745,Medio,Alto,335.5,20.130000000000003,315.37,2117.9,Fidelizacion Activa,50.32,70.32,245.05,0.7304,1.324217861205916,793.15,22764,0.38
104326,I,0,0.1346,Bajo,Alto,408.1,36.729,371.371,2493.98,Mantenimiento Preventivo,32.65,42.65,328.72,0.8055,3.8536928487690507,335.69,23547,0.5
104824,H,0,0.0968,Bajo,Alto,388.3,23.298,365.002,2451.21,Mantenimiento Preventivo,31.06,41.06,323.94,0.8342,3.9447150511446663,237.28,23689,0.5
105114,I,0,0.0694,Bajo,Alto,408.1,36.729,371.371,2493.98,Mantenimiento Preventivo,32.65,42.65,328.72,0.8055,3.8536928487690507,173.08,28453,0.5
